iter	MultiClass
0	1.021899632
1	0.95302208
2	0.8932230462
3	0.8409125923
4	0.7939992723
5	0.7477140713
6	0.7080980187
7	0.6674507394
8	0.6327786242
9	0.6012225557
10	0.5716314352
11	0.5440449032
12	0.5207943116
13	0.4976155596
14	0.477154887
15	0.4565449473
16	0.4384990365
17	0.4215609555
18	0.4046757253
19	0.3887452637
20	0.3745341346
21	0.3597756594
22	0.3471517056
23	0.3353036744
24	0.3235615778
25	0.3132523855
26	0.3036273598
27	0.2939599507
28	0.284606681
29	0.2767587425
30	0.269067153
31	0.2604646099
32	0.2534942526
33	0.246763224
34	0.2403910725
35	0.2345144842
36	0.2286257116
37	0.2233713345
38	0.217709924
39	0.2126695095
40	0.2079736264
41	0.2036187266
42	0.1995167563
43	0.1952452338
44	0.1910517855
45	0.1871179622
46	0.1832754376
47	0.1804021498
48	0.1773869206
49	0.1742059885
50	0.1712778199
51	0.1679726159
52	0.1651675404
53	0.1625995926
54	0.1601478028
55	0.157829187
56	0.1555127693
57	0.1532891938
58	0.1511401074
59	0.1489828796
60	0.1469216154
61	0.1447383209
62	0.1431316602
63	0.1413036276
64	0.1394893445
65	0.1378718415
66	0.1360470681
67	0.1348300197
68	0.1332103586
69	0.1322101969
70	0.1306332617
71	0.1291893928
72	0.127724486
73	0.1259109557
74	0.124933301
75	0.1233608555
76	0.1223225853
77	0.1213119011
78	0.120126646
79	0.119289116
80	0.1182270599
81	0.1171075088
82	0.1163805045
83	0.115146301
84	0.1142526735
85	0.1134034021
86	0.1121700709
87	0.1114281196
88	0.1103977365
89	0.1097847464
90	0.109020935
91	0.1082977218
92	0.1077024061
93	0.1070732933
94	0.1066199362
95	0.1060937865
96	0.1052434428
97	0.1045936359
98	0.1039032442
99	0.1032088983
100	0.1024929852
101	0.1019482584
102	0.1014011895
103	0.1010104798
104	0.1006707022
105	0.09995546316
106	0.09948731137
107	0.0990733976
108	0.09859935058
109	0.09797469465
110	0.09746145686
111	0.09696203106
112	0.09632160945
113	0.09581253838
114	0.09516893668
115	0.09462743735
116	0.09411007459
117	0.09337855792
118	0.09283502604
119	0.09241928685
120	0.09184285146
121	0.09132517344
122	0.09066834141
123	0.09029137177
124	0.08985614599
125	0.0893618574
126	0.08888226315
127	0.08852658502
128	0.08814033468
129	0.08782873337
130	0.08757454342
131	0.08712259615
132	0.08691688762
133	0.08669165938
134	0.08638985162
135	0.08592620555
136	0.08537429683
137	0.08516038675
138	0.08460773004
139	0.08417987206
140	0.08370778523
141	0.08335635354
142	0.0830531989
143	0.08270224135
144	0.08240856974
145	0.08209446817
146	0.08176082998
147	0.08135864413
148	0.080830112
149	0.08072083056
150	0.08052543303
151	0.08028712582
152	0.08003294802
153	0.07976054737
154	0.07935678156
155	0.07912283691
156	0.07875649678
157	0.07844240424
158	0.0782733503
159	0.07797767961
160	0.07764020555
161	0.0773421611
162	0.07707524901
163	0.07672034756
164	0.07653052807
165	0.0763219075
166	0.07599913993
167	0.07576849711
168	0.07547553637
169	0.07520907315
170	0.07500561273
171	0.07479149803
172	0.07450073588
173	0.0742171788
174	0.07375894796
175	0.0734744927
176	0.07308824345
177	0.07276880362
178	0.07249600317
179	0.07223217212
180	0.07206162006
181	0.07185514454
182	0.07158219566
183	0.07127865726
184	0.07102478419
185	0.07064185278
186	0.07043373444
187	0.0701370155
188	0.0697303471
189	0.06949362988
190	0.0692266655
191	0.06910526307
192	0.06886584351
193	0.06853235114
194	0.06816302347
195	0.06805075345
196	0.06782089119
197	0.06761806968
198	0.067345468
199	0.06710573838
200	0.0668094852
201	0.0666850723
202	0.06640531305
203	0.06616171075
204	0.06597119234
205	0.06569677507
206	0.06544713214
207	0.06522495413
208	0.06507734175
209	0.06487519132
210	0.06459584248
211	0.06445241387
212	0.06409340545
213	0.06387068946
214	0.06372592059
215	0.063580218
216	0.06349205612
217	0.06320306167
218	0.06294330541
219	0.06277292126
220	0.06254974797
221	0.06225551004
222	0.06206974041
223	0.06167159085
224	0.06154818632
225	0.06137350276
226	0.0612424908
227	0.06099279805
228	0.06080537175
229	0.06062021935
230	0.06047831968
231	0.06031764599
232	0.06013282581
233	0.05994934454
234	0.05965955861
235	0.05953605477
236	0.05936101253
237	0.05913820019
238	0.05896004758
239	0.05872095656
240	0.05861707156
241	0.05846902668
242	0.05825177146
243	0.05810646538
244	0.0578806836
245	0.05769656793
246	0.05747888362
247	0.05735070695
248	0.05722639359
249	0.0571329035
250	0.05701133548
251	0.05686890371
252	0.05669724062
253	0.05658102569
254	0.05650041982
255	0.05619617365
256	0.05603932134
257	0.05588177835
258	0.05572992123
259	0.05560538445
260	0.05546720111
261	0.05531504488
262	0.05501926039
263	0.05487494511
264	0.05472389954
265	0.05457253719
266	0.05452110534
267	0.05431920698
268	0.0541551384
269	0.05395513775
270	0.0537937854
271	0.05363744639
272	0.05346275779
273	0.05333428459
274	0.053194523
275	0.05302492983
276	0.05277700295
277	0.05254647253
278	0.05234635111
279	0.05216593686
280	0.05208475769
281	0.05192323753
282	0.05174739755
283	0.05160219681
284	0.05138669566
285	0.05125029699
286	0.05103687926
287	0.05088815507
288	0.05075638158
289	0.0506445197
290	0.05054858903
291	0.05041733821
292	0.05022681123
293	0.05013943493
294	0.04996919263
295	0.049841077
296	0.04974554765
297	0.04960573008
298	0.04950525208
299	0.04931601573
